,Availability,Brand,Name,Proof,Region,Type,Weight,Previous_price,Discount_price,Price_diff,Discount
59,Only 1 left in stock,Knob Creek,Knob Creek Single Barrel Bourbon Whiskey 750ml,120.0,America,Whiskey,3.5 lbs,51.95,51.95,0.0,0.0
60,In stock,Sugerlands Shine,Sugarlands Appalachian Strawberry Dream Sippin Cream 750ml,70.0,America,Liqueur,3.5 lbs,19.95,19.95,0.0,0.0
61,Out of stock,Bookers,Bookers Little Book Noe Simple Task Chapter 2 Whiskey,118.8,America,Whiskey,3.5 lbs,99.95,99.95,0.0,0.0
62,In stock,Don Julio,Don Julio 1942 Anejo Tequila 750ml,80.0,Mexico,Tequila,3.5 lbs,149.95,139.95,10.0,0.06668889629876626
63,In stock,Mitchers,Michters Sour Mash Whiskey 750ml,84.0,America,Whiskey,3.5 lbs,39.95,39.95,0.0,0.0
64,In stock,Wild Turkey,Wild Turkey American Honey Bourbon Liqueur 750ml,71.0,America,Whiskey,3.5 lbs,21.95,21.95,0.0,0.0
65,Out of stock,"Buffalo Trace, Stagg",Stagg Jr Bourbon Whiskey 750ml,126.0,America,Whiskey,3.5 lbs,79.95,79.95,0.0,0.0
66,Out of stock,Blood Oath,Blood Oath Pact No 5 Bourbon Whiskey,98.6,America,Whiskey,3.5 lbs,109.95,109.95,0.0,0.0
67,In stock,Saint Lucia Distillers,Saint Lucia Distillers Chairman’s Reserve Spiced Rum 750ml,80.0,Saint Lucia,Rum,3.5 lbs,25.95,19.95,6.0,0.23121387283236994
69,In stock,Ciroc,Ciroc Black Raspberry Vodka 750ml,70.0,France,Vodka,3.5 lbs,26.95,26.95,0.0,0.0
70,In stock,Sugerlands Shine,Sugarlands Shine Maple Bacon Moonshine,70.0,America,Moonshine,3.5 lbs,19.95,19.95,0.0,0.0
71,In stock,Sugerlands Shine,Sugarlands Shine Mark Rogers Peach Moonshine,70.0,America,Moonshine,3.5 lbs,19.95,19.95,0.0,0.0
72,In stock,Grand Mayan,Grand Mayan Ultra Aged Tequila 750ml,80.0,Mexico,Tequila,3.5 lbs,79.95,79.95,0.0,0.0
73,In stock,Makers Mark,Makers Mark Bourbon Whiskey 750ml,90.0,America,Whiskey,3.5 lbs,29.95,23.99,5.960000000000001,0.19899833055091823
74,In stock,Glenfarclas,Glenfarclas 12 Year Single Malt Scotch Whiskey Shot 50ml,96.0,Scotland,Scotch,1.5 lbs,2.95,2.95,0.0,0.0
75,Out of stock,Dalwhinnie,Cardhu Gold Reserve Game Of Thrones House Targaryen,92.0,Scotland,Whiskey,3.5 lbs,49.95,49.95,0.0,0.0
